...1,name,Gender,Eye color,Race,Hair color,Height,Publisher,Skin color,Alignment,Weight
0,A-Bomb,Male,yellow,Human,No Hair,203,Marvel Comics,NA,good,441
5,Absorbing Man,Male,blue,Human,No Hair,193,Marvel Comics,NA,bad,122
7,Adam Strange,Male,blue,Human,Blond,185,DC Comics,NA,good,88
9,Agent Bob,Male,brown,Human,Brown,178,Marvel Comics,NA,good,81
14,Alex Mercer,Male,NA,Human,NA,NA,Wildstorm,NA,bad,NA
16,Alfred Pennyworth,Male,blue,Human,Black,178,DC Comics,NA,good,72
20,Ammo,Male,brown,Human,Black,188,Marvel Comics,NA,bad,101
27,Animal Man,Male,blue,Human,Blond,183,DC Comics,NA,good,83
29,Ant-Man,Male,blue,Human,Blond,211,Marvel Comics,NA,good,122
30,Ant-Man II,Male,blue,Human,Blond,183,Marvel Comics,NA,good,86
38,Arachne,Female,blue,Human,Blond,175,Marvel Comics,NA,good,63
45,Arsenal,Male,NA,Human,NA,NA,DC Comics,NA,good,NA
52,Atom II,Male,brown,Human,Auburn,183,DC Comics,NA,good,81
57,Azrael,Male,brown,Human,Black,NA,DC Comics,NA,good,NA
59,Bane,Male,NA,Human,NA,203,DC Comics,NA,bad,180
60,Banshee,Male,green,Human,Strawberry Blond,183,Marvel Comics,NA,good,77
63,Batgirl,Female,green,Human,Red,170,DC Comics,NA,good,57
65,Batgirl IV,Female,green,Human,Black,165,DC Comics,NA,good,52
68,Batman,Male,blue,Human,black,188,DC Comics,NA,good,95
69,Batman,Male,blue,Human,Black,178,DC Comics,NA,good,77
70,Batman II,Male,blue,Human,Black,178,DC Comics,NA,good,79
72,Batwoman V,Female,green,Human,Red,178,DC Comics,NA,good,NA
75,Beast Boy,Male,green,Human,Green,173,DC Comics,green,good,68
88,Bird-Man,Male,NA,Human,NA,NA,Marvel Comics,NA,bad,NA
89,Bird-Man II,Male,NA,Human,NA,NA,Marvel Comics,NA,bad,NA
96,Black Canary,Female,blue,Human,Blond,165,DC Comics,NA,good,58
98,Black Cat,Female,green,Human,Blond,178,Marvel Comics,NA,good,54
101,Black Knight III,Male,brown,Human,Brown,183,Marvel Comics,NA,good,86
104,Black Manta,Male,black,Human,No Hair,188,DC Comics,NA,bad,92
105,Black Panther,Male,brown,Human,Black,183,Marvel Comics,NA,good,90
106,Black Widow,Female,green,Human,Auburn,170,Marvel Comics,NA,good,59
119,Bloodaxe,Female,blue,Human,Brown,218,Marvel Comics,NA,bad,495
125,Blue Beetle III,Male,brown,Human,Black,NA,DC Comics,NA,good,NA
131,Booster Gold,Male,blue,Human,Blond,196,DC Comics,NA,good,97
137,Brother Voodoo,Male,brown,Human,Brown / White,183,Marvel Comics,NA,good,99
139,Buffy,Female,green,Human,Blond,157,Dark Horse Comics,NA,good,52
140,Bullseye,Male,blue,Human,blond,183,Marvel Comics,NA,bad,90
141,Bumblebee,Female,brown,Human,Black,170,DC Comics,NA,good,59
143,Bushido,Male,NA,Human,NA,NA,DC Comics,NA,good,NA
148,Captain America,Male,blue,Human,blond,188,Marvel Comics,NA,good,108
150,Captain Britain,Male,blue,Human,Blond,198,Marvel Comics,NA,good,116
151,Captain Cold,Male,brown,Human,Brown,NA,DC Comics,NA,neutral,NA
153,Captain Hindsight,Male,NA,Human,Black,NA,South Park,NA,good,NA
156,Captain Marvel,Male,blue,Human,Black,193,DC Comics,NA,good,101
157,Captain Marvel II,Male,blue,Human,Black,175,DC Comics,NA,good,74
158,Captain Midnight,Male,NA,Human,NA,NA,Dark Horse Comics,NA,good,NA
164,Catwoman,Female,green,Human,Black,175,DC Comics,NA,good,61
171,Cheetah,Female,green,Human,Blond,163,DC Comics,NA,bad,50
172,Cheetah II,Female,green,Human,Brown,170,DC Comics,NA,bad,55
173,Cheetah III,Female,brown,Human,Brown,175,DC Comics,NA,bad,54
176,Citizen Steel,Male,green,Human,Red,183,DC Comics,NA,good,170
180,Clock King,Male,blue,Human,Black,178,DC Comics,NA,bad,78
187,Cottonmouth,Male,brown,Human,Black,183,Marvel Comics,NA,bad,99
200,Daredevil,Male,blue,Human,Red,183,Marvel Comics,NA,good,90
201,Darkhawk,Male,brown,Human,Brown,185,Marvel Comics,NA,good,81
208,Dash,Male,blue,Human,Blond,122,Dark Horse Comics,NA,good,27
211,Deadman,Male,blue,Human,Black,183,DC Comics,NA,good,90
213,Deadshot,Male,brown,Human,Brown,185,DC Comics,NA,bad,91
215,Deathstroke,Male,blue,Human,White,193,DC Comics,NA,neutral,101
218,Diamondback,Male,brown,Human,Black,193,Marvel Comics,NA,bad,90
221,Doctor Doom,Male,brown,Human,Brown,201,Marvel Comics,NA,bad,187
223,Doctor Fate,Male,blue,Human,Blond,188,DC Comics,NA,good,89
224,Doctor Octopus,Male,brown,Human,Brown,175,Marvel Comics,NA,bad,110
225,Doctor Strange,Male,grey,Human,Black,188,Marvel Comics,NA,good,81
226,Domino,Female,blue,Human,Black,173,Marvel Comics,white,good,54
235,Elastigirl,Female,brown,Human,Brown,168,Dark Horse Comics,NA,good,56
236,Electro,Male,blue,Human,Auburn,180,Marvel Comics,NA,bad,74
237,Elektra,Female,blue,Human,Black,175,Marvel Comics,NA,good,59
241,Enchantress,Female,blue,Human,Blond,168,DC Comics,NA,good,57
244,Ethan Hunt,Male,brown,Human,Brown,168,NA,NA,good,NA
250,Falcon,Male,brown,Human,Black,188,Marvel Comics,NA,good,108
260,Firestorm,Male,blue,Human,Auburn,188,DC Comics,NA,good,91
262,Flash,Male,blue,Human,Brown / White,180,DC Comics,NA,good,81
264,Flash II,Male,blue,Human,Blond,183,DC Comics,NA,good,88
265,Flash III,Male,NA,Human,NA,183,DC Comics,NA,good,86
266,Flash IV,Male,yellow,Human,Auburn,157,DC Comics,NA,good,52
281,Giant-Man,Male,NA,Human,NA,NA,Marvel Comics,NA,good,NA
290,Goliath,Male,NA,Human,NA,NA,Marvel Comics,NA,good,NA
291,Goliath,Male,NA,Human,NA,NA,Marvel Comics,NA,good,NA
295,Gravity,Male,blue,Human,Brown,178,Marvel Comics,NA,good,79
297,Green Arrow,Male,green,Human,Blond,188,DC Comics,NA,good,88
298,Green Goblin,Male,blue,Human,Auburn,180,Marvel Comics,NA,bad,83
303,Guardian,Male,brown,Human,Black,NA,Marvel Comics,NA,good,NA
305,Hal Jordan,Male,brown,Human,Brown,188,DC Comics,NA,good,90
306,Han Solo,Male,brown,Human,Brown,183,George Lucas,NA,good,79
307,Hancock,Male,brown,Human,Black,188,Sony Pictures,NA,good,NA
308,Harley Quinn,Female,blue,Human,Blond,170,DC Comics,NA,bad,63
309,Harry Potter,Male,green,Human,Black,NA,J. K. Rowling,NA,good,NA
312,Hawkeye,Male,blue,Human,Blond,191,Marvel Comics,NA,good,104
313,Hawkeye II,Female,blue,Human,Black,165,Marvel Comics,NA,good,57
319,Heat Wave,Male,blue,Human,No Hair,180,DC Comics,NA,bad,81
322,Hellcat,Female,blue,Human,Red,173,Marvel Comics,NA,good,61
326,Hit-Girl,Female,NA,Human,NA,NA,Icon Comics,NA,good,NA
339,Impulse,Male,yellow,Human,Auburn,170,DC Comics,NA,good,65
340,Indiana Jones,Male,NA,Human,NA,183,George Lucas,NA,good,79
